location_id,location_name,latitude,longitude,parameter,value,timestamp_utc
8118,New Delhi,28.63576,77.22445,pm25,321.0,2023-11-05T22:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,328.0,2023-11-05T23:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,333.0,2023-11-06T00:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,327.0,2023-11-06T01:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,367.0,2023-11-06T02:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,344.0,2023-11-06T03:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,297.0,2023-11-06T04:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,181.0,2023-11-06T06:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,182.0,2023-11-06T07:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,179.0,2023-11-06T08:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,179.0,2023-11-06T09:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,179.0,2023-11-06T10:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,184.0,2023-11-06T11:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,183.0,2023-11-06T12:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,196.0,2023-11-06T13:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,203.0,2023-11-06T14:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,212.0,2023-11-06T15:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,223.0,2023-11-06T16:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,214.0,2023-11-06T17:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,223.0,2023-11-06T18:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,221.0,2023-11-06T19:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,243.0,2023-11-06T20:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,243.0,2023-11-06T21:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,255.0,2023-11-06T22:30:00Z
