latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
29.81135,75.85378,333.42,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.02,3.39,D,0
29.81257,76.06675,340.06,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,299.98,4.55,D,0
29.81261,75.67435,335.58,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,302.88,5.14,D,0
29.81366,75.15118,333.53,0.47,0.39,2023-11-01,750,N,VIIRS,n,2,301.47,4.92,D,0
29.81573,75.58778,341.34,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,300.16,3.83,D,0
29.81583,75.6926,343.35,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,302.0,5.38,D,0
29.81614,75.67352,334.08,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,299.38,5.14,D,0
29.81642,75.86195,333.27,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,302.72,5.75,D,0
29.81721,75.86644,332.68,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.96,5.75,D,0
29.81733,75.45985,333.65,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,300.6,2.89,D,0
29.81935,75.69177,333.01,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,299.11,5.38,D,0
29.82286,75.69096,337.69,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,301.43,5.89,D,0
29.82366,75.69552,341.86,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,299.72,5.89,D,0
29.82926,75.72736,344.23,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,305.47,21.71,D,0
29.82972,75.75087,337.9,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.13,2.86,D,0
29.83233,75.84893,339.69,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.13,4.17,D,0
29.83254,75.97453,345.64,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,301.08,10.97,D,0
29.83277,75.72655,343.5,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,303.09,21.71,D,0
29.83308,75.60287,332.96,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,300.61,1.96,D,0
29.83504,75.84362,336.04,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.89,4.07,D,0
29.83521,75.59997,335.71,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,300.14,3.73,D,0
29.83617,75.82932,337.6,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,304.08,11.42,D,0
29.84081,75.81418,336.75,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.21,2.51,D,0
29.84439,75.56911,338.8,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,299.69,5.65,D,0
29.84517,75.85999,336.73,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.43,3.01,D,0
29.84756,75.52518,333.16,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,301.17,5.72,D,0
29.84839,75.52979,334.92,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,300.96,5.72,D,0
29.84955,75.94746,334.62,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,301.13,5.56,D,0
29.85079,75.68677,339.05,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,300.33,3.73,D,0
29.8534,75.92799,334.99,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.52,5.76,D,0
29.85515,75.40244,344.43,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,301.5,10.28,D,0
29.85689,75.92719,337.89,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,306.63,18.6,D,0
29.85727,75.90849,338.44,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.4,4.89,D,0
29.85767,75.93166,332.16,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,300.02,18.6,D,0
29.8577,75.56122,345.39,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,302.64,15.77,D,0
29.85867,75.79125,346.88,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,305.29,10.8,D,0
29.85916,75.65159,335.73,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,303.09,17.85,D,0
29.85994,75.86125,336.24,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.71,3.65,D,0
29.86135,75.7458,346.62,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,302.63,5.13,D,0
29.86153,75.91216,336.3,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.05,4.62,D,0
29.86156,75.60338,331.99,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,298.85,2.15,D,0
29.86302,75.83716,335.61,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.53,3.23,D,0
29.86343,75.86044,336.16,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,299.29,3.65,D,0
29.86485,75.74499,338.33,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.43,5.13,D,0
29.86486,75.00017,333.75,0.47,0.4,2023-11-01,750,N,VIIRS,n,2,300.5,2.75,D,0
29.86565,75.62628,335.82,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,300.71,3.36,D,0
29.86735,76.00815,333.77,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,300.16,3.77,D,0
29.86813,75.92924,339.37,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,301.63,6.58,D,0
29.86887,75.58255,344.9,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,301.3,4.86,D,0
29.8689,75.93372,330.97,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,300.5,2.9,D,0
29.87187,75.74336,333.33,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.19,2.21,D,0
29.87404,75.71451,343.92,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,301.81,12.68,D,0
29.87467,76.02953,334.06,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,301.57,4.51,D,0
29.87503,76.05247,335.25,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,300.97,3.47,D,0
29.87538,75.74255,334.55,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.08,2.53,D,0
29.87587,75.93211,336.5,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,304.27,35.62,D,0
29.87802,75.7984,336.48,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.24,3.57,D,0
29.87845,76.09301,339.26,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,306.38,10.26,D,0
29.87861,75.36766,336.56,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,300.76,4.0,D,0
29.87917,75.22181,338.33,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,299.83,4.44,D,0
29.8795,75.86823,330.73,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,299.21,2.5,D,0
29.88101,75.77422,334.38,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.46,2.88,D,0
29.88151,75.79758,341.29,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.59,3.57,D,0
29.88162,76.02794,330.49,0.43,0.38,2023-11-01,750,N,VIIRS,l,2,301.29,2.63,D,0
29.8849,75.56924,333.55,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,300.35,4.45,D,0
29.88495,74.94465,332.74,0.47,0.4,2023-11-01,750,N,VIIRS,n,2,299.94,2.03,D,0
29.8851,75.73557,332.9,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.29,3.13,D,0
29.88514,75.34168,333.23,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,300.76,3.82,D,0
29.88597,75.55461,333.47,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,300.01,3.09,D,0
29.88744,75.91299,338.99,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.21,4.38,D,0
29.88749,75.91549,334.28,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.26,3.76,D,0
29.89042,75.78613,333.98,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.35,3.38,D,0
29.89092,75.91219,347.07,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.88,4.91,D,0
29.89362,75.9929,338.87,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,301.08,4.81,D,0
29.89441,75.91138,332.35,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,299.27,4.91,D,0
29.89631,75.57137,334.88,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,301.52,6.04,D,0
29.90174,75.5605,344.35,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,301.95,8.98,D,0
29.90191,75.16184,333.23,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,300.66,5.67,D,0
29.90215,75.70799,339.04,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,301.33,5.15,D,0
29.90236,75.34901,334.46,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,301.04,3.3,D,0
29.90321,75.35369,332.67,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,299.69,3.3,D,0
29.90527,75.55968,332.79,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,299.7,8.98,D,0
29.91143,75.78127,332.92,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.22,2.56,D,0
29.91186,75.38091,333.66,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,301.16,3.79,D,0
29.91409,75.87893,340.93,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,303.35,11.03,D,0
29.91786,75.18786,332.91,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,300.93,3.98,D,0
29.91811,75.7985,333.14,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.1,3.07,D,0
